Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),6,(H)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),3,67.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),3,97.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),1,37.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,13,62.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,624,22.2
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,CORN,"CORN, SILAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,5,40.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"55,234",29.4
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",7,42
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),12,70
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),58,39.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),61,52.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),45,55.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),29,56.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,212,26.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,975,39.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,7,34
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,249,40.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,3,54.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"40,746",25.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",7,48.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),10,67.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),44,43.2
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),41,41.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),29,37.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),19,45.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,150,22.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,181",23.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,SOYBEANS,"SOYBEANS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,44,38.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"150,286",20.2
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",49,30.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),7,(H)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),63,35
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),59,47.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),82,37.4
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),47,37.4
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,307,20.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,490",21.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,19,26.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"150,286",20.2
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,307,20.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,"WHEAT, WINTER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,490",21.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,BARTON,9,,,0,,WHEAT,"WHEAT, WINTER, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,19,26.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"26,309",20.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),11,74.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),46,43.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),48,46.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),25,48.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),11,56.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,141,24.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,857",19.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,17,26.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,763",45.7
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",1,2.4
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),3,(H)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),9,(H)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),16,67.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),1,97.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,30,62.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,CORN,"CORN, SILAGE, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,2,40.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"25,793",29.4
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",1,42
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),11,70
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),71,39.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),51,52.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),17,55.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),8,56.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,159,26.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED, (D),(D)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, GRAIN, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,2,34
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,134",40.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SORGHUM,"SORGHUM, SILAGE - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,20,54.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"116,844",25.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",20,48.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),24,67.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),93,43.2
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),121,41.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),84,37.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),51,45.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,SOYBEANS - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,393,22.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,"SOYBEANS, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,369",23.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,SOYBEANS,"SOYBEANS, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,13,38.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"120,519",20.2
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",28,30.9
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (1.0 TO 24.9 ACRES),27,(H)
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),89,35
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),105,47.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),86,37.4
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),54,37.4
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,WHEAT - OPERATIONS WITH AREA HARVESTED,TOTAL,NOT SPECIFIED,389,20.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,"WHEAT, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,242,21.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,"WHEAT, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,26.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,"WHEAT, WINTER - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"120,519",20.2
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,"WHEAT, WINTER - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,389,20.5
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,"WHEAT, WINTER, IRRIGATED - ACRES HARVESTED",TOTAL,NOT SPECIFIED,242,21.3
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,DICKINSON,41,,,0,,WHEAT,"WHEAT, WINTER, IRRIGATED - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,4,26.6
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,ELLIS,51,,,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,733",20.1
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,ELLIS,51,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)",5,27
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,ELLIS,51,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),10,43.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,ELLIS,51,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (25.0 TO 99.9 ACRES),5,46.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,ELLIS,51,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),5,48.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,ELLIS,51,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES),2,56.8
CENSUS,2017,YEAR,,COUNTY,KANSAS,20,CENTRAL,50,ELLIS,51,,,0,,CORN,"CORN, GRAIN - OPERATIONS WITH AREA HARVESTED",TOTAL,NOT SPECIFIED,27,24.9
